[2016-02-28 18:26:08,801] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:26:08,803] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:26:08,804] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:26:08,804] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:26:08,804] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:26:08,805] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:26:08,805] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:26:08,805] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:26:08,805] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:26:08,805] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:26:08,806] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
[2016-02-28 18:26:08,807] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candies are set
[2016-02-28 18:47:14,102] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 18:47:14,106] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:14,106] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:14,106] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:14,106] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:14,107] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:14,107] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:14,107] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 18:47:14,109] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:14,112] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:47:14,112] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:14,112] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:47:14,112] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:14,113] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:47:14,113] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:14,114] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:47:14,114] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:14,114] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:47:14,115] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
[2016-02-28 18:47:14,117] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candies are set
[2016-02-28 18:47:20,394] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 18:47:20,397] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:20,397] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:20,397] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:20,397] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:20,397] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:20,398] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:20,398] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 18:47:20,400] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
